window,timestamp,close,adx,bbw,primary_bbw_percentile,pooled_bbw_percentile,bbw_ratio_to_history_mean,atr_ratio_20,raw_detect,current_regime,squeeze_miss_reason
TRENDING_UP,2023-12-23 20:00:00+00:00,43702.16,20.36273063477691,0.012762073870716008,0.6517690875232774,0.5025125628140703,0.23346696386891957,0.7834643378259672,,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-10 20:00:00+00:00,90504.7,19.875569415928013,0.013615026476695248,0.6554307116104869,0.8375209380234505,0.2779850139969117,0.7612053101599716,RANGING,TRENDING,bbw_ratio_too_high
MIXED,2025-04-20 08:00:00+00:00,84129.83,20.284646471112495,0.014532986805748311,0.7211538461538461,1.0329424902289224,0.4383264783792551,0.7577642534588968,,RANGING,bbw_ratio_too_high
TRENDING_UP,2023-11-13 12:00:00+00:00,36841.91,23.126833908070854,0.012831316078547563,0.74487895716946,0.530429927414852,0.27306308668660045,0.826340349002555,,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-25 00:00:00+00:00,88960.35,38.66553086897925,0.013880454994160215,0.7490636704119851,0.893355667225014,0.28697646740111715,0.7375167669218771,TRENDING,TRENDING,promoted_to_TRENDING_via_adx
RANGING,2025-01-26 16:00:00+00:00,105081.63,15.708587570914762,0.021236430306127343,0.7662835249042145,5.6393076493579,0.3709317275587646,0.6513817548808603,RANGING,RANGING,bbw_ratio_too_high
MIXED,2025-04-20 16:00:00+00:00,84651.61,27.863422886518507,0.015128162001436471,0.8012820512820512,1.0887772194304857,0.5127174562104474,0.7754972214122163,TRENDING,RANGING,promoted_to_TRENDING_via_adx
TRENDING_UP,2023-12-24 00:00:00+00:00,43834.48,19.989066674821515,0.012962777337261434,0.8379888268156425,0.6141820212171971,0.23999281664380728,0.7751758761131216,RANGING,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-10 16:00:00+00:00,90626.54,22.78744510211219,0.014459299584909937,0.8426966292134831,0.9491903964265772,0.2903794895877006,0.7939498508465007,,TRENDING,bbw_ratio_too_high
MIXED,2025-04-20 12:00:00+00:00,84344.66,22.97584016880511,0.01524864632719876,0.8814102564102564,1.1446119486320492,0.4891180266557205,0.7764730380916283,,RANGING,bbw_ratio_too_high
TRENDING_UP,2023-12-24 04:00:00+00:00,43651.17,13.359822064392816,0.013003393168268058,0.931098696461825,0.6420993858179788,0.24379827147229638,0.8005083154943383,RANGING,TRENDING,bbw_ratio_too_high
TRENDING_DOWN,2026-01-12 00:00:00+00:00,91808.12,14.555002641770942,0.014465990882314072,0.9363295880149813,0.977107761027359,0.33781861181676986,0.8313422874824409,RANGING,RANGING,bbw_ratio_too_high
RANGING,2025-02-10 20:00:00+00:00,97430.82,15.949922077226569,0.021507074100395016,0.9578544061302682,5.9184812953657175,0.4163493481511509,0.8386230268948779,RANGING,RANGING,bbw_ratio_too_high
